Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
14,Sun Dec 3 2023,17:05,CET / UTC+0100,Lille OSC,2-0,2-0,FC Metz,2023-12-03T16:05:00Z
14,Sun Dec 3 2023,20:45,CET / UTC+0100,Olympique de Marseille,2-0,1-0,Stade Rennais FC 1901,2023-12-03T19:45:00Z
10,Wed Dec 6 2023,21:00,CET / UTC+0100,Olympique de Marseille,3-0,2-0,Olympique Lyonnais,2023-12-06T20:00:00Z
12,Thu Dec 7 2023,20:30,CET / UTC+0100,Stade Brestois 29,1-1,1-0,RC Strasbourg Alsace,2023-12-07T19:30:00Z
15,Fri Dec 8 2023,21:00,CET / UTC+0100,Montpellier HSC,0-0,0-0,Racing Club de Lens,2023-12-08T20:00:00Z
15,Sat Dec 9 2023,17:00,CET / UTC+0100,Stade Rennais FC 1901,1-2,0-0,AS Monaco FC,2023-12-09T16:00:00Z
15,Sat Dec 9 2023,21:00,CET / UTC+0100,Paris Saint-Germain FC,2-1,1-0,FC Nantes,2023-12-09T20:00:00Z
15,Sun Dec 10 2023,13:00,CET / UTC+0100,OGC Nice,2-1,0-0,Stade de Reims,2023-12-10T12:00:00Z
15,Sun Dec 10 2023,15:00,CET / UTC+0100,Clermont Foot 63,0-0,0-0,Lille OSC,2023-12-10T14:00:00Z
15,Sun Dec 10 2023,15:00,CET / UTC+0100,FC Metz,0-1,0-0,Stade Brestois 29,2023-12-10T14:00:00Z
15,Sun Dec 10 2023,15:00,CET / UTC+0100,RC Strasbourg Alsace,2-1,1-0,Le Havre AC,2023-12-10T14:00:00Z
15,Sun Dec 10 2023,17:05,CET / UTC+0100,Olympique Lyonnais,3-0,2-0,Toulouse FC,2023-12-10T16:05:00Z
15,Sun Dec 10 2023,20:45,CET / UTC+0100,FC Lorient,2-4,1-4,Olympique de Marseille,2023-12-10T19:45:00Z
16,Fri Dec 15 2023,21:00,CET / UTC+0100,AS Monaco FC,0-1,0-0,Olympique Lyonnais,2023-12-15T20:00:00Z
16,Sat Dec 16 2023,17:00,CET / UTC+0100,Le Havre AC,3-1,2-0,OGC Nice,2023-12-16T16:00:00Z
16,Sat Dec 16 2023,21:00,CET / UTC+0100,Racing Club de Lens,2-0,1-0,Stade de Reims,2023-12-16T20:00:00Z
16,Sun Dec 17 2023,13:00,CET / UTC+0100,FC Nantes,0-2,0-0,Stade Brestois 29,2023-12-17T12:00:00Z
16,Sun Dec 17 2023,15:00,CET / UTC+0100,FC Lorient,1-2,0-1,RC Strasbourg Alsace,2023-12-17T14:00:00Z
16,Sun Dec 17 2023,15:00,CET / UTC+0100,FC Metz,0-1,0-1,Montpellier HSC,2023-12-17T14:00:00Z
16,Sun Dec 17 2023,15:00,CET / UTC+0100,Toulouse FC,0-0,0-0,Stade Rennais FC 1901,2023-12-17T14:00:00Z
16,Sun Dec 17 2023,17:05,CET / UTC+0100,Olympique de Marseille,2-1,2-0,Clermont Foot 63,2023-12-17T16:05:00Z
16,Sun Dec 17 2023,20:45,CET / UTC+0100,Lille OSC,1-1,0-0,Paris Saint-Germain FC,2023-12-17T19:45:00Z
17,Wed Dec 20 2023,21:00,CET / UTC+0100,Clermont Foot 63,1-3,1-0,Stade Rennais FC 1901,2023-12-20T20:00:00Z
17,Wed Dec 20 2023,21:00,CET / UTC+0100,Toulouse FC,1-2,1-2,AS Monaco FC,2023-12-20T20:00:00Z
17,Wed Dec 20 2023,21:00,CET / UTC+0100,Montpellier HSC,1-1,1-0,Olympique de Marseille,2023-12-20T20:00:00Z
17,Wed Dec 20 2023,21:00,CET / UTC+0100,OGC Nice,2-0,0-0,Racing Club de Lens,2023-12-20T20:00:00Z
17,Wed Dec 20 2023,21:00,CET / UTC+0100,Olympique Lyonnais,1-0,0-0,FC Nantes,2023-12-20T20:00:00Z
17,Wed Dec 20 2023,21:00,CET / UTC+0100,Paris Saint-Germain FC,3-1,0-0,FC Metz,2023-12-20T20:00:00Z
17,Wed Dec 20 2023,21:00,CET / UTC+0100,RC Strasbourg Alsace,2-1,1-1,Lille OSC,2023-12-20T20:00:00Z
17,Wed Dec 20 2023,21:00,CET / UTC+0100,Stade Brestois 29,4-0,4-0,FC Lorient,2023-12-20T20:00:00Z
17,Wed Dec 20 2023,21:00,CET / UTC+0100,Stade de Reims,1-0,1-0,Le Havre AC,2023-12-20T20:00:00Z
18,Fri Jan 12 2024,21:00,CET / UTC+0100,Olympique de Marseille,1-1,1-0,RC Strasbourg Alsace,2024-01-12T20:00:00Z
18,Sat Jan 13 2024,17:00,CET / UTC+0100,AS Monaco FC,1-3,0-1,Stade de Reims,2024-01-13T16:00:00Z
18,Sat Jan 13 2024,21:00,CET / UTC+0100,Stade Rennais FC 1901,2-0,1-0,OGC Nice,2024-01-13T20:00:00Z
18,Sun Jan 14 2024,13:00,CET / UTC+0100,Lille OSC,3-0,1-0,FC Lorient,2024-01-14T12:00:00Z
18,Sun Jan 14 2024,15:00,CET / UTC+0100,FC Metz,0-1,0-1,Toulouse FC,2024-01-14T14:00:00Z
18,Sun Jan 14 2024,15:00,CET / UTC+0100,FC Nantes,1-2,0-1,Clermont Foot 63,2024-01-14T14:00:00Z
18,Sun Jan 14 2024,15:00,CET / UTC+0100,Stade Brestois 29,2-0,0-0,Montpellier HSC,2024-01-14T14:00:00Z
18,Sun Jan 14 2024,17:05,CET / UTC+0100,Le Havre AC,3-1,1-0,Olympique Lyonnais,2024-01-14T16:05:00Z
18,Sun Jan 14 2024,20:45,CET / UTC+0100,Racing Club de Lens,0-2,0-1,Paris Saint-Germain FC,2024-01-14T19:45:00Z
19,Fri Jan 26 2024,21:00,CET / UTC+0100,Olympique Lyonnais,2-3,0-3,Stade Rennais FC 1901,2024-01-26T20:00:00Z
19,Sat Jan 27 2024,17:00,CET / UTC+0100,OGC Nice,1-0,0-0,FC Metz,2024-01-27T16:00:00Z
